# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-2979  [002] .... 250308.130417: tracing_mark_write: start dd
         mmcqd/0-339   [002] d.h3 250308.135840: bcm2835_sdhost_transfer_pio: write:SDDATA:cafeb449
         mmcqd/0-339   [002] d.h3 250308.135841: bcm2835_sdhost_transfer_pio: write:SDDATA:59b3d1a9
         mmcqd/0-339   [002] d.h3 250308.135843: bcm2835_sdhost_transfer_pio: write:SDDATA:e0e9f603
         mmcqd/0-339   [002] d.h3 250308.135844: bcm2835_sdhost_transfer_pio: write:SDDATA:0e8053ed
         mmcqd/0-339   [002] d.h3 250308.135845: bcm2835_sdhost_transfer_pio: write:SDDATA:27d8b823
         mmcqd/0-339   [002] d.h3 250308.135846: bcm2835_sdhost_transfer_pio: write:SDDATA:a52824c0
         mmcqd/0-339   [002] d.h3 250308.135847: bcm2835_sdhost_transfer_pio: write:SDDATA:e756ee6a
         mmcqd/0-339   [002] d.h3 250308.135848: bcm2835_sdhost_transfer_pio: write:SDDATA:e830edb0
         mmcqd/0-339   [002] d.h3 250308.135849: bcm2835_sdhost_transfer_pio: write:SDDATA:ccb5c204
         mmcqd/0-339   [002] d.h3 250308.135851: bcm2835_sdhost_transfer_pio: write:SDDATA:d500b059
         mmcqd/0-339   [002] d.h3 250308.135852: bcm2835_sdhost_transfer_pio: write:SDDATA:2b662d47
         mmcqd/0-339   [002] d.h3 250308.135853: bcm2835_sdhost_transfer_pio: write:SDDATA:87173672
         mmcqd/0-339   [002] d.h3 250308.135854: bcm2835_sdhost_transfer_pio: write:SDDATA:afda2d1e
         mmcqd/0-339   [002] d.h3 250308.135856: bcm2835_sdhost_transfer_pio: write:SDDATA:3eb30851
         mmcqd/0-339   [002] d.h3 250308.135857: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
         mmcqd/0-339   [002] d.h3 250308.135858: bcm2835_sdhost_transfer_pio: write:SDDATA:95e7905c
         mmcqd/0-339   [002] d.h3 250308.135859: bcm2835_sdhost_transfer_pio: write:SDDATA:d8414db7
         mmcqd/0-339   [002] d.h3 250308.135860: bcm2835_sdhost_transfer_pio: write:SDDATA:9c1a6d14
         mmcqd/0-339   [002] d.h3 250308.135861: bcm2835_sdhost_transfer_pio: write:SDDATA:30551493
         mmcqd/0-339   [002] d.h3 250308.135862: bcm2835_sdhost_transfer_pio: write:SDDATA:aa3c8ed8
         mmcqd/0-339   [002] d.h3 250308.135863: bcm2835_sdhost_transfer_pio: write:SDDATA:0e87212e
         mmcqd/0-339   [002] d.h3 250308.135867: bcm2835_sdhost_transfer_pio: write:SDDATA:6cf8ff9f
         mmcqd/0-339   [002] d.h3 250308.135868: bcm2835_sdhost_transfer_pio: write:SDDATA:5b9bd001
         mmcqd/0-339   [002] d.h3 250308.135869: bcm2835_sdhost_transfer_pio: write:SDDATA:3719c168
         mmcqd/0-339   [002] d.h3 250308.135870: bcm2835_sdhost_transfer_pio: write:SDDATA:172de0b5
         mmcqd/0-339   [002] d.h3 250308.135871: bcm2835_sdhost_transfer_pio: write:SDDATA:77e59ec6
         mmcqd/0-339   [002] d.h3 250308.135873: bcm2835_sdhost_transfer_pio: write:SDDATA:1f409724
         mmcqd/0-339   [002] d.h3 250308.135874: bcm2835_sdhost_transfer_pio: write:SDDATA:2989e2af
         mmcqd/0-339   [002] d.h3 250308.135875: bcm2835_sdhost_transfer_pio: write:SDDATA:13ad2492
         mmcqd/0-339   [002] d.h3 250308.135876: bcm2835_sdhost_transfer_pio: write:SDDATA:3de51757
         mmcqd/0-339   [002] d.h3 250308.135877: bcm2835_sdhost_transfer_pio: write:SDDATA:c3f37ba5
         mmcqd/0-339   [002] d.h3 250308.135878: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
         mmcqd/0-339   [002] d.h3 250308.135879: bcm2835_sdhost_transfer_pio: write:SDDATA:f094a142
         mmcqd/0-339   [002] d.h3 250308.135880: bcm2835_sdhost_transfer_pio: write:SDDATA:9ae22020
         mmcqd/0-339   [002] d.h3 250308.135882: bcm2835_sdhost_transfer_pio: write:SDDATA:c1e2d2d3
         mmcqd/0-339   [002] d.h3 250308.135883: bcm2835_sdhost_transfer_pio: write:SDDATA:db6f225a
         mmcqd/0-339   [002] d.h3 250308.135884: bcm2835_sdhost_transfer_pio: write:SDDATA:d04a7dbe
         mmcqd/0-339   [002] d.h3 250308.135885: bcm2835_sdhost_transfer_pio: write:SDDATA:280c2505
         mmcqd/0-339   [002] d.h3 250308.135886: bcm2835_sdhost_transfer_pio: write:SDDATA:e216a930
         mmcqd/0-339   [002] d.h3 250308.135887: bcm2835_sdhost_transfer_pio: write:SDDATA:4e5f3ae0
         mmcqd/0-339   [002] d.h3 250308.135888: bcm2835_sdhost_transfer_pio: write:SDDATA:3bbdfc04
         mmcqd/0-339   [002] d.h3 250308.135889: bcm2835_sdhost_transfer_pio: write:SDDATA:5b170aa8
         mmcqd/0-339   [002] d.h3 250308.135891: bcm2835_sdhost_transfer_pio: write:SDDATA:6af6b98a
         mmcqd/0-339   [002] d.h3 250308.135892: bcm2835_sdhost_transfer_pio: write:SDDATA:ef6ec1c2
         mmcqd/0-339   [002] d.h3 250308.135893: bcm2835_sdhost_transfer_pio: write:SDDATA:f5a0e96f
         mmcqd/0-339   [002] d.h3 250308.135894: bcm2835_sdhost_transfer_pio: write:SDDATA:bc2c3bb7
         mmcqd/0-339   [002] d.h3 250308.135895: bcm2835_sdhost_transfer_pio: write:SDDATA:1908d76e
         mmcqd/0-339   [002] d.h3 250308.135896: bcm2835_sdhost_transfer_pio: write:SDDATA:ed83099a
         mmcqd/0-339   [002] d.h3 250308.135898: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
         mmcqd/0-339   [002] d.h3 250308.135899: bcm2835_sdhost_transfer_pio: write:SDDATA:c8ac8e86
         mmcqd/0-339   [002] d.h3 250308.135900: bcm2835_sdhost_transfer_pio: write:SDDATA:a0d0e5b4
         mmcqd/0-339   [002] d.h3 250308.135901: bcm2835_sdhost_transfer_pio: write:SDDATA:3ced3d41
         mmcqd/0-339   [002] d.h3 250308.135902: bcm2835_sdhost_transfer_pio: write:SDDATA:f28c19ef
         mmcqd/0-339   [002] d.h3 250308.135904: bcm2835_sdhost_transfer_pio: write:SDDATA:f1d4456f
         mmcqd/0-339   [002] d.h3 250308.135905: bcm2835_sdhost_transfer_pio: write:SDDATA:4d6f1840
         mmcqd/0-339   [002] d.h3 250308.135906: bcm2835_sdhost_transfer_pio: write:SDDATA:2dcb4ee8
         mmcqd/0-339   [002] d.h3 250308.135907: bcm2835_sdhost_transfer_pio: write:SDDATA:75096e7f
         mmcqd/0-339   [002] d.h3 250308.135908: bcm2835_sdhost_transfer_pio: write:SDDATA:c2e5407b
         mmcqd/0-339   [002] d.h3 250308.135910: bcm2835_sdhost_transfer_pio: write:SDDATA:ca0f07a5
         mmcqd/0-339   [002] d.h3 250308.135911: bcm2835_sdhost_transfer_pio: write:SDDATA:23a9a5d5
         mmcqd/0-339   [002] d.h3 250308.135912: bcm2835_sdhost_transfer_pio: write:SDDATA:13f942e8
         mmcqd/0-339   [002] d.h3 250308.135914: bcm2835_sdhost_transfer_pio: write:SDDATA:aa9f0f01
         mmcqd/0-339   [002] d.h3 250308.135915: bcm2835_sdhost_transfer_pio: write:SDDATA:d24c57ac
         mmcqd/0-339   [002] d.h3 250308.135916: bcm2835_sdhost_transfer_pio: write:SDDATA:3220c72f
         mmcqd/0-339   [002] d.h3 250308.135917: bcm2835_sdhost_transfer_pio: write:SDDATA:c3c15091
         mmcqd/0-339   [002] d.h3 250308.135918: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
         mmcqd/0-339   [002] d.h3 250308.135919: bcm2835_sdhost_transfer_pio: write:SDDATA:ccec30b9
         mmcqd/0-339   [002] d.h3 250308.135921: bcm2835_sdhost_transfer_pio: write:SDDATA:a370881a
         mmcqd/0-339   [002] d.h3 250308.135922: bcm2835_sdhost_transfer_pio: write:SDDATA:2b068cdb
         mmcqd/0-339   [002] d.h3 250308.135923: bcm2835_sdhost_transfer_pio: write:SDDATA:7c1057be
         mmcqd/0-339   [002] d.h3 250308.135924: bcm2835_sdhost_transfer_pio: write:SDDATA:0ef38b95
         mmcqd/0-339   [002] d.h3 250308.135925: bcm2835_sdhost_transfer_pio: write:SDDATA:2adbb326
         mmcqd/0-339   [002] d.h3 250308.135926: bcm2835_sdhost_transfer_pio: write:SDDATA:6a7c9928
         mmcqd/0-339   [002] d.h3 250308.135927: bcm2835_sdhost_transfer_pio: write:SDDATA:4a4789c0
         mmcqd/0-339   [002] d.h3 250308.135928: bcm2835_sdhost_transfer_pio: write:SDDATA:e7bb792f
         mmcqd/0-339   [002] d.h3 250308.135930: bcm2835_sdhost_transfer_pio: write:SDDATA:8f1578c8
         mmcqd/0-339   [002] d.h3 250308.135931: bcm2835_sdhost_transfer_pio: write:SDDATA:326831dd
         mmcqd/0-339   [002] d.h3 250308.135932: bcm2835_sdhost_transfer_pio: write:SDDATA:03795cb8
         mmcqd/0-339   [002] d.h3 250308.135933: bcm2835_sdhost_transfer_pio: write:SDDATA:e01a29b0
         mmcqd/0-339   [002] d.h3 250308.135934: bcm2835_sdhost_transfer_pio: write:SDDATA:b70e5f61
         mmcqd/0-339   [002] d.h3 250308.135935: bcm2835_sdhost_transfer_pio: write:SDDATA:4e789cc9
         mmcqd/0-339   [002] d.h3 250308.135936: bcm2835_sdhost_transfer_pio: write:SDDATA:534e1879
         mmcqd/0-339   [002] d.h2 250308.135938: bcm2835_sdhost_transfer_pio: read:SDHSTS:00000001
         mmcqd/0-339   [002] d.h2 250308.135939: bcm2835_sdhost_irq: read:SDHSTS:00000001
